Arrival Chickens Date;Chickens Death Per Day;Current Chickens;Date of Laid;# of Eggs;% laied;Water Consuption (gr);Feed Consuption (gr);Date of Selling;# Eggs sold (First quality);# Eggs sold (Second quality)
;1;17453;23/04/2018;17600;100,84%;;;23/04/2018;29200;
;1;17452;24/04/2018;10670;61,14%;;;24/04/2018;28060;
;2;17450;25/04/2018;15110;86,59%;;;25/04/2018;;
;0;17450;26/04/2018;13910;79,71%;;;26/04/2018;;
;0;17450;27/04/2018;13280;76,10%;;;27/04/2018;;
;3;17447;28/04/2018;14300;81,96%;;;28/04/2018;41970;
;1;17446;29/04/2018;14150;81,11%;;;29/04/2018;;
;1;17445;30/04/2018;13370;76,64%;;;30/04/2018;28240;5790
;2;17443;01/05/2018;13550;77,68%;;;01/05/2018;;
;2;17441;02/05/2018;13580;77,86%;;;02/05/2018;40230;
;0;17441;03/05/2018;14210;81,47%;;;03/05/2018;;
;1;17440;04/05/2018;13910;79,76%;;;04/05/2018;14120;
;3;17437;05/05/2018;13040;74,78%;;;05/05/2018;;
;3;17434;06/05/2018;14030;80,47%;;;06/05/2018;;
;1;17433;07/05/2018;14090;80,82%;;;07/05/2018;54620;
;1;17432;08/05/2018;11990;68,78%;;;08/05/2018;11900;
;2;17430;09/05/2018;15410;88,41%;;;09/05/2018;;
;0;17430;10/05/2018;13580;77,91%;;;10/05/2018;15290;
;0;17430;11/05/2018;12500;71,72%;;;11/05/2018;;
;3;17427;12/05/2018;12890;73,97%;;;12/05/2018;38670;
;1;17426;13/05/2018;13550;77,76%;;;13/05/2018;;
;2;17424;14/05/2018;14660;84,14%;;;14/05/2018;28030;
;2;17422;15/05/2018;12890;73,99%;;;15/05/2018;12770;
;1;17421;16/05/2018;13820;79,33%;;;16/05/2018;;
;0;17421;17/05/2018;13220;75,89%;;;17/05/2018;13700;
;3;17418;18/05/2018;12830;73,66%;;;18/05/2018;;
;1;17417;19/05/2018;12590;72,29%;;;19/05/2018;25870;
;2;17415;20/05/2018;13430;77,12%;;;20/05/2018;;
;1;17414;21/05/2018;15590;89,53%;;;21/05/2018;25810;
;7;17407;22/05/2018;12740;73,19%;;;22/05/2018;15470;
;9;17398;23/05/2018;13160;75,64%;;;23/05/2018;;
;4;17394;24/05/2018;14480;83,25%;;;24/05/2018;25690;
;5;17389;25/05/2018;12350;71,02%;;;25/05/2018;;
;0;17389;26/05/2018;13460;77,41%;;;26/05/2018;26620;
;0;17389;27/05/2018;14910;85,74%;;;27/05/2018;;
;4;17385;28/05/2018;13640;78,46%;;;28/05/2018;41680;
;0;17385;29/05/2018;11090;63,79%;;;29/05/2018;11030;
;0;17385;30/05/2018;14060;80,87%;;;30/05/2018;;
;12;17373;31/05/2018;12280;70,68%;;;31/05/2018;26160;
;14;17359;01/06/2018;13700;78,92%;;;01/06/2018;;
;8;17351;02/06/2018;14900;85,87%;;;02/06/2018;;
;6;17345;03/06/2018;12260;70,68%;;;03/06/2018;;
;20;17325;04/06/2018;12020;69,38%;;;04/06/2018;43320;
;6;17319;05/06/2018;15290;88,28%;;;05/06/2018;;
;11;17308;06/06/2018;13850;80,02%;;;06/06/2018;38070;
;10;17298;07/06/2018;8330;48,16%;;;07/06/2018;8240;
;10;17288;08/06/2018;17900;103,54%;;;08/06/2018;;
;38;17250;09/06/2018;13280;76,99%;;;09/06/2018;26380;
;0;17250;10/06/2018;16190;93,86%;;;10/06/2018;;
;5;17245;11/06/2018;11840;68,66%;;;11/06/2018;27820;
;5;17240;12/06/2018;13040;75,64%;;;12/06/2018;12920;
;10;17230;13/06/2018;14420;83,69%;;;13/06/2018;;
;5;17225;14/06/2018;14600;84,76%;;;14/06/2018;28840;
;18;17207;15/06/2018;15590;90,60%;;;15/06/2018;;
;7;17200;16/06/2018;12980;75,47%;;;16/06/2018;15470;
;4;17196;17/06/2018;12530;72,87%;;;17/06/2018;;
;6;17190;18/06/2018;11990;69,75%;;;18/06/2018;37230;
;10;17180;19/06/2018;13190;76,78%;;;19/06/2018;;
;9;17171;20/06/2018;13490;78,56%;;;20/06/2018;26500;840
;13;17158;21/06/2018;14210;82,82%;;;21/06/2018;;
;0;17158;22/06/2018;15710;91,56%;;;22/06/2018;;
;18;17140;23/06/2018;11450;66,80%;;;23/06/2018;41040;
;6;17134;24/06/2018;13910;81,18%;;;24/06/2018;13820;
;9;17125;25/06/2018;13430;78,42%;;;25/06/2018;;
;11;17114;26/06/2018;13280;77,60%;;;26/06/2018;;
;0;17114;27/06/2018;7400;43,24%;;;27/06/2018;;
;0;17114;28/06/2018;11360;66,38%;;;28/06/2018;;
;0;17114;29/06/2018;2750;16,07%;;;29/06/2018;;
;0;17114;30/06/2018;0;0,00%;;;30/06/2018;47830;330
