Arrival Chickens Date;Death;Chickens;Date of Laid;Eggs;Laied;Water;Feed;Date of Selling;# Eggs sold (First quality);# Eggs sold (Second quality)
20/06/2022;18;39840;14/11/2022;29160;0.731927711;;;14/11/2022;;
20/06/2022;14;39826;15/11/2022;28560;0.71711947;;;15/11/2022;;
20/06/2022;17;39809;16/11/2022;28800;0.723454495;;;16/11/2022;;
20/06/2022;15;39794;17/11/2022;28680;0.720711665;;;17/11/2022;;
20/06/2022;17;39777;18/11/2022;28200;0.70895241;;;18/11/2022;;
20/06/2022;15;39762;19/11/2022;28530;0.717519239;;;19/11/2022;;
20/06/2022;17;39745;20/11/2022;28020;0.704994339;;;20/11/2022;;
20/06/2022;11;39734;21/11/2022;28050;0.705944531;;;21/11/2022;;
20/06/2022;18;39716;22/11/2022;28260;0.711552019;;;22/11/2022;;
20/06/2022;16;39700;23/11/2022;28440;0.716372796;;;23/11/2022;;
20/06/2022;15;39685;24/11/2022;28320;0.713619756;;;24/11/2022;;
20/06/2022;20;39665;25/11/2022;28440;0.717004916;;;25/11/2022;;
20/06/2022;19;39646;26/11/2022;28710;0.724158805;;;26/11/2022;;
20/06/2022;15;39631;27/11/2022;28800;0.726703843;;;27/11/2022;;
