Arrival Chickens Date;Death;Chickens;DeathPerc;Date of Laid;Eggs;Laied;Water;Feed;Date of Selling;# Eggs sold (First quality);# Eggs sold (Second quality)
20/06/2022;16;39944;0.0004005608;08/11/2022;30090;0.753304626;;;08/11/2022;;
20/06/2022;17;39927;0.0004257770;09/11/2022;29850;0.747614396;;;09/11/2022;;
20/06/2022;17;39910;0.0004259584;10/11/2022;28860;0.723127036;;;10/11/2022;;
20/06/2022;15;39895;0.0003759870;11/11/2022;29160;0.730918661;;;11/11/2022;;
20/06/2022;19;39876;0.0004764771;12/11/2022;28920;0.72524827;;;12/11/2022;;
20/06/2022;18;39858;0.0004516032;13/11/2022;28770;0.721812434;;;13/11/2022;;
20/06/2022;18;39840;0.0004518072;14/11/2022;29160;0.731927711;;;14/11/2022;;
20/06/2022;14;39826;0.0003515292;15/11/2022;28560;0.71711947;;;15/11/2022;;
20/06/2022;17;39809;0.0004270391;16/11/2022;28800;0.723454495;;;16/11/2022;;
20/06/2022;15;39794;0.0003769412;17/11/2022;28680;0.720711665;;;17/11/2022;;
20/06/2022;17;39777;0.0004273827;18/11/2022;28200;0.70895241;;;18/11/2022;;
20/06/2022;15;39762;0.0003772446;19/11/2022;28530;0.717519239;;;19/11/2022;;
20/06/2022;17;39745;0.0004277268;20/11/2022;28020;0.704994339;;;20/11/2022;;
20/06/2022;11;39734;0.0002768410;21/11/2022;28050;0.705944531;;;21/11/2022;;
20/06/2022;18;39716;0.0004532178;22/11/2022;28260;0.711552019;;;22/11/2022;;
20/06/2022;16;39700;0.0004030227;23/11/2022;28440;0.716372796;;;23/11/2022;;
20/06/2022;15;39685;0.0003779766;24/11/2022;28320;0.713619756;;;24/11/2022;;
20/06/2022;20;39665;0.0005042229;25/11/2022;28440;0.717004916;;;25/11/2022;;
20/06/2022;19;39646;0.0004792413;26/11/2022;28710;0.724158805;;;26/11/2022;;
20/06/2022;15;39631;0.0003784916;27/11/2022;28800;0.726703843;;;27/11/2022;;
