Arrival Chickens Date;Chickens Death Per Day;Current Chickens;Date of Laid;# of Eggs;% laied;Water Consumption (gr);Feed Consumption (gr);Date of Selling;# Eggs sold (First quality);# Eggs sold (Second quality)
17/11/2016;2;40525;11/04/2018;29250;72.18%;;;;0;0
17/11/2016;2;40525;12/04/2018;32490;80.17%;;;;60020;0
17/11/2016;1;40524;13/04/2018;27420;67.66%;;;;0;0
17/11/2016;3;40524;14/04/2018;32160;79.36%;;;;43190;0
17/11/2016;3;40522;15/04/2018;28980;71.52%;;;;0;0
17/11/2016;1;40521;16/04/2018;29940;73.89%;;;;73960;0
17/11/2016;2;40519;17/04/2018;29160;71.97%;;;;29490;0
17/11/2016;4;40518;18/04/2018;28650;70.71%;;;;0;0
17/11/2016;1;40518;19/04/2018;28740;70.93%;;;;56550;5540
17/11/2016;2;40518;20/04/2018;30030;74.12%;;;;0;0
17/11/2016;3;40515;21/04/2018;31230;77.08%;;;;37490;0
17/11/2016;4;40514;22/04/2018;27840;68.72%;;;;0;0
17/11/2016;2;40513;23/04/2018;32460;80.12%;;;;64590;0
17/11/2016;3;40512;24/04/2018;22800;56.28%;;;;54360;0
17/11/2016;4;40510;25/04/2018;28350;69.98%;;;;0;0
17/11/2016;3;40510;26/04/2018;29130;71.91%;;;;0;0
17/11/2016;;40510;27/04/2018;26880;66.35%;;;;0;0
17/11/2016;7;40507;28/04/2018;28140;69.47%;;;;82500;0
17/11/2016;3;40506;29/04/2018;28170;69.55%;;;;0;0
17/11/2016;3;40505;30/04/2018;26700;65.92%;;;;55320;5790
17/11/2016;5;40503;01/05/2018;27150;67.03%;;;;0;0
17/11/2016;4;40501;02/05/2018;28290;69.85%;;;;80940;0
17/11/2016;;40501;03/05/2018;28830;71.18%;;;;0;0
17/11/2016;5;40500;04/05/2018;27300;67.41%;;;;28380;0
17/11/2016;6;40497;05/05/2018;26880;66.38%;;;;0;0
17/11/2016;4;40494;06/05/2018;27270;67.34%;;;;0;0
17/11/2016;2;40493;07/05/2018;28920;71.42%;;;;108480;0
17/11/2016;3;40492;08/05/2018;24090;59.49%;;;;23700;0
17/11/2016;5;40490;09/05/2018;29130;71.94%;;;;0;0
17/11/2016;1;40490;10/05/2018;27540;68.02%;;;;42220;4200
17/11/2016;2;40490;11/05/2018;25980;64.16%;;;;0;0
17/11/2016;3;40487;12/05/2018;26400;65.21%;;;;64940;0
17/11/2016;4;40486;13/05/2018;41350;102.13%;;;;0;0
17/11/2016;5;40484;14/05/2018;28680;70.84%;;;;55650;0
17/11/2016;5;40482;15/05/2018;26160;64.62%;;;;25650;0
17/11/2016;2;40481;16/05/2018;27960;69.07%;;;;0;0
17/11/2016;;40481;17/05/2018;26580;65.66%;;;;27420;0
17/11/2016;6;40478;18/05/2018;26520;65.52%;;;;0;0
17/11/2016;3;40477;19/05/2018;26280;64.93%;;;;51750;4640
17/11/2016;5;40475;20/05/2018;26760;66.11%;;;;0;0
17/11/2016;2;40474;21/05/2018;29190;72.12%;;;;65380;0
17/11/2016;10;40467;22/05/2018;25980;64.20%;;;;15470;0
17/11/2016;11;40458;23/05/2018;26340;65.10%;;;;0;0
17/11/2016;6;40454;24/05/2018;28080;69.41%;;;;51300;0
17/11/2016;8;40449;25/05/2018;24000;59.33%;;;;0;0
17/11/2016;3;40449;26/05/2018;27000;66.75%;;;;51270;0
17/11/2016;2;40449;27/05/2018;26980;66.70%;;;;0;0
17/11/2016;6;40445;28/05/2018;25740;63.64%;;;;78520;0
17/11/2016;3;40445;29/05/2018;21000;51.92%;;;;20670;5320
17/11/2016;3;40445;30/05/2018;;;;;;0;0
17/11/2016;15;40433;31/05/2018;27320;67.57%;;;;40240;0
