Arrival Chickens Date;Death;Chickens;Date of Laid;Eggs;Laied;Water;Feed;Date of Selling;# Eggs sold (First quality);# Eggs sold (Second quality)
11/08/2015;2;57346;05/10/2015;41700;0.727164929;;;;;
11/08/2015;2;57344;06/10/2015;42960;0.749162946;;;;;
11/08/2015;3;57341;07/10/2015;43200;0.753387628;;;;;
11/08/2015;2;57339;08/10/2015;46800;0.816198399;;;;;
11/08/2015;1;57338;09/10/2015;41940;0.731452091;;;;;
11/08/2015;2;57336;10/10/2015;46770;0.815717874;;;;;
11/08/2015;3;57333;11/10/2015;45120;0.78698132;;;;;
11/08/2015;2;57331;12/10/2015;45990;0.80218381;;;;;
11/08/2015;1;57330;13/10/2015;38880;0.678178964;;;;;
11/08/2015;2;57328;14/10/2015;54000;0.941948088;;;;;
11/08/2015;1;57327;15/10/2015;50160;0.874980376;;;;;
11/08/2015;3;57324;16/10/2015;48450;0.84519573;;;;;
11/08/2015;2;57322;17/10/2015;48960;0.854122327;;;;;
11/08/2015;1;57321;18/10/2015;48120;0.839482912;;;;;
11/08/2015;1;57320;19/10/2015;49080;0.856245639;;;;;
11/08/2015;1;57319;20/10/2015;51360;0.896037963;;;;;
11/08/2015;2;57317;21/10/2015;49780;0.868503236;;;;;
11/08/2015;1;57316;22/10/2015;50220;0.876195129;;;;;
11/08/2015;2;57314;23/10/2015;51150;0.892452106;;;;;
11/08/2015;2;57312;24/10/2015;49830;0.869451424;;;;;
11/08/2015;3;57309;25/10/2015;50040;0.873161284;;;;;
11/08/2015;1;57308;26/10/2015;50790;0.886263698;;;;;
11/08/2015;3;57305;27/10/2015;50460;0.880551435;;;;;
11/08/2015;1;57304;28/10/2015;50340;0.878472707;;;;;
11/08/2015;1;57303;29/10/2015;50430;0.880058636;;;;;
11/08/2015;1;57302;30/10/2015;50080;0.873966005;;;;;
11/08/2015;1;57301;31/10/2015;51600;0.900507845;;;;;
11/08/2015;3;57298;01/11/2015;50640;0.883800482;;;;;
11/08/2015;1;57297;02/11/2015;51060;0.891146133;;;;;
11/08/2015;3;57294;03/11/2015;50880;0.888051105;;;;;
11/08/2015;2;57292;04/11/2015;50640;0.883893039;;;;;
11/08/2015;3;57289;05/11/2015;50820;0.88708129;;;;;
11/08/2015;1;57288;06/11/2015;51720;0.902806871;;;;;
