Arrival Chickens Date;Chickens Death Per Day;Current Chickens;Date of Laid;# of Eggs;% laied;Water Consuption (gr);Feed Consuption (gr);Date of Selling;# Eggs sold (First quality);# Eggs sold (Second quality)
10/08/2015;0;33288;05/10/2015;24420;73,36%;;;05/10/2015;;
;1;33287;06/10/2015;24960;74,98%;;;06/10/2015;;
;0;33287;07/10/2015;24600;73,90%;;;07/10/2015;;
;1;33286;08/10/2015;25140;75,53%;;;08/10/2015;;
;0;33286;09/10/2015;23760;71,38%;;;09/10/2015;;
;0;33286;10/10/2015;27330;82,11%;;;10/10/2015;;
;2;33284;11/10/2015;26160;78,60%;;;11/10/2015;;
;0;33284;12/10/2015;26550;79,77%;;;12/10/2015;;
;1;33283;13/10/2015;21600;64,90%;;;13/10/2015;;
;0;33283;14/10/2015;31380;94,28%;;;14/10/2015;;
;1;33282;15/10/2015;30240;90,86%;;;15/10/2015;;
;0;33282;16/10/2015;28530;85,72%;;;16/10/2015;;
;0;33282;17/10/2015;28440;85,45%;;;17/10/2015;;
;1;33281;18/10/2015;27960;84,01%;;;18/10/2015;;
;1;33280;19/10/2015;28500;85,64%;;;19/10/2015;;
;0;33280;20/10/2015;29820;89,60%;;;20/10/2015;;
;2;33278;21/10/2015;28920;86,90%;;;21/10/2015;;
;0;33278;22/10/2015;29070;87,36%;;;22/10/2015;;
;0;33278;23/10/2015;29550;88,80%;;;23/10/2015;;
;1;33277;24/10/2015;28830;86,64%;;;24/10/2015;;
;0;33277;25/10/2015;28950;87,00%;;;25/10/2015;;
;0;33277;26/10/2015;29400;88,35%;;;26/10/2015;;
;1;33276;27/10/2015;29220;87,81%;;;27/10/2015;;
;0;33276;28/10/2015;29130;87,54%;;;28/10/2015;;
;1;33275;29/10/2015;29190;87,72%;;;29/10/2015;;
;1;33274;30/10/2015;28990;87,13%;;;30/10/2015;;
;0;33274;31/10/2015;29850;89,71%;;;31/10/2015;;
;0;33274;01/11/2015;29310;88,09%;;;01/11/2015;;
;1;33273;02/11/2015;29580;88,90%;;;02/11/2015;;
;0;33273;03/11/2015;29280;88,00%;;;03/11/2015;;
;1;33272;04/11/2015;29130;87,55%;;;04/11/2015;;
;0;33272;05/11/2015;29280;88,00%;;;05/11/2015;;
;1;33271;06/11/2015;29760;89,45%;;;06/11/2015;;
;1;33270;07/11/2015;29310;88,10%;;;07/11/2015;;
;0;33270;08/11/2015;29520;88,73%;;;08/11/2015;;
;0;33270;09/11/2015;29520;88,73%;;;09/11/2015;;
;1;33269;10/11/2015;28500;85,67%;;;10/11/2015;;
;0;33269;11/11/2015;29370;88,28%;;;11/11/2015;;
;1;33268;12/11/2015;29340;88,19%;;;12/11/2015;;
;0;33268;13/11/2015;28920;86,93%;;;13/11/2015;;
;1;33267;14/11/2015;29850;89,73%;;;14/11/2015;;
;0;33267;15/11/2015;29580;88,92%;;;15/11/2015;;
;5;33262;16/11/2015;31000;93,20%;;;16/11/2015;;
;0;33262;17/11/2015;29070;87,40%;;;17/11/2015;;
;1;33261;18/11/2015;30000;90,20%;;;18/11/2015;;
;0;33261;19/11/2015;29250;87,94%;;;19/11/2015;;
;3;33258;20/11/2015;29670;89,21%;;;20/11/2015;;
;0;33258;21/11/2015;30090;90,47%;;;21/11/2015;;
;0;33258;22/11/2015;30030;90,29%;;;22/11/2015;;
;0;33258;23/11/2015;31170;93,72%;;;23/11/2015;;
;2;33256;24/11/2015;28920;86,96%;;;24/11/2015;;
;0;33256;25/11/2015;30090;90,48%;;;25/11/2015;;
;3;33253;26/11/2015;29910;89,95%;;;26/11/2015;;
;2;33251;27/11/2015;30150;90,67%;;;27/11/2015;;
;0;33251;28/11/2015;30090;90,49%;;;28/11/2015;;
;5;33246;29/11/2015;30110;90,57%;;;29/11/2015;;
;3;33243;30/11/2015;29440;88,56%;;;30/11/2015;;
;2;33241;01/12/2015;28620;86,10%;;;01/12/2015;;
;4;33237;02/12/2015;29820;89,72%;;;02/12/2015;;
;0;33237;03/12/2015;30410;91,49%;;;03/12/2015;;
;3;33234;04/12/2015;30090;90,54%;;;04/12/2015;;
;1;33233;05/12/2015;28920;87,02%;;;05/12/2015;;
;2;33231;06/12/2015;29820;89,74%;;;06/12/2015;;
;4;33227;07/12/2015;29790;89,66%;;;07/12/2015;;
;0;33227;08/12/2015;29250;88,03%;;;08/12/2015;;
;3;33224;09/12/2015;30450;91,65%;;;09/12/2015;;
;2;33222;10/12/2015;30150;90,75%;;;10/12/2015;;
;3;33219;11/12/2015;30270;91,12%;;;11/12/2015;;
;4;33215;12/12/2015;30120;90,68%;;;12/12/2015;;
;2;33213;13/12/2015;29280;88,16%;;;13/12/2015;;
;3;33210;14/12/2015;30510;91,87%;;;14/12/2015;;
;2;33208;15/12/2015;29010;87,36%;;;15/12/2015;;
;1;33207;16/12/2015;30000;90,34%;;;16/12/2015;;
;2;33205;17/12/2015;30090;90,62%;;;17/12/2015;;
;2;33203;18/12/2015;29850;89,90%;;;18/12/2015;;
;1;33202;19/12/2015;29640;89,27%;;;19/12/2015;;
